measure_id,measure_name,measure_format,filter_id,demographics,location_id,location_type,location_name,start_year,end_year,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average,calculation,population,total_cases,median_household_income,num_full_time_prosecutors,total_num_law_enforcement_agencies
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL,state,Florida,2009,2013,268251,892541,30.0548,10,0.0011,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,19091156,3097814,46956,NA,NA
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL001,county,Alachua,2009,2013,8051,28525,28.2244,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,249848,62645,42149,NA,4
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL003,county,Baker,2009,2013,129,1715,7.5219,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,27069,5769,49236,NA,1
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL005,county,Bay,2009,2013,12543,28040,44.7325,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,170704,57611,47461,NA,7
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL007,county,Bradford,2009,2013,1,2376,0.0421,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,27981,7662,40259,NA,3
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL009,county,Brevard,2009,2013,9997,28641,34.9045,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,545667,83634,48039,NA,15
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL011,county,Broward,2009,2013,21744,88657,24.526,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1784889,239278,51251,NA,19
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL013,county,Calhoun,2009,2013,0,1059,0,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,14700,2654,32780,NA,3
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL015,county,Charlotte,2009,2013,1421,7435,19.1123,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,161276,20385,44378,NA,2
1,Non-Custodial Promise to Appear Instead of Custodial Arrest,percentage,1,all defendants,FL017,county,Citrus,2009,2013,1968,4828,40.7622,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,140214,14329,39100,NA,3
