measure_id,measure_name,measure_format,filter_id,demographics,location_id,location_type,location_name,start_year,end_year,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average,calculation,population,total_cases,median_household_income,num_full_time_prosecutors,total_num_law_enforcement_agencies
23,Cases Dismissed,percentage,1,all defendants,OR,state,Oregon,2009,2015,126686,397034,31.9081,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,3868721,407169,50229,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR001,county,Baker,2009,2015,626,1593,39.2969,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,16055,1633,41500,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR003,county,Benton,2009,2015,2776,7533,36.8512,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,85989,7633,48604,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR005,county,Clackamas,2009,2015,6061,26943,22.4956,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,380532,27755,64352,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR007,county,Clatsop,2009,2015,1410,5209,27.0685,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,37157,5361,44683,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR009,county,Columbia,2009,2015,974,3149,30.9305,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,49333,3260,54968,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR011,county,Coos,2009,2015,2328,6854,33.9656,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,62753,6981,37940,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR013,county,Crook,2009,2015,990,3743,26.4494,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,20894,3792,38795,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR015,county,Curry,2009,2015,982,3022,32.495,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,22361,3139,39516,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR017,county,Deschutes,2009,2015,5492,20075,27.3574,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,160565,20436,50209,NA,NA
23,Cases Dismissed,percentage,1,all defendants,OR019,county,Douglas,2009,2015,3449,12255,28.1436,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,107286,12594,40524,NA,NA
