location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr
FL001,FL,249848,78.8066,21.1934,6.4221,8.6,5.8516,24.9,63.2921,19.732,0.2229,5.4689,2.69,8.5976,42149,19.9,NA,246.5499,50,4,NA,616,25.9,12.49,127488,NA,91.2,Gainesville,36.6335,49.9428,79.4498,76.6654,NA,NA,12.428608011937431,11.755785365348954,county,Alachua,0.08828951688259211,0.4920574791019522,0.06482814354622825,0.35482486046922745
FL003,FL,27069,40.5089,59.4911,7.5097,11.4,0.3879,17.3,82.2786,13.9126,0.1847,0.5394,0.92,2.1648,49236,29.4,NA,221.6558,100,1,NA,60,14.8,8.06,6413,NA,80.1,Macclenny,42.5,76.1905,77.2051,76.0274,63.9594,NA,10.20614444066261,8.7662383802531,county,Baker,0.06912028725314183,0.5631358467983244,0.1310592459605027,0.059844404548174746
FL005,FL,170704,88.0001,11.9999,6.4519,9.9,2.2905,14.7,78.8124,10.0982,0.5255,2.0263,3.51,5.0227,47461,21.3,NA,241.9393,57.14,7,NA,413,20.4,6.75,36484,NA,87,Panama City,NA,NA,NA,NA,NA,NA,12.047686341431243,10.50465649619972,county,Bay,0,0,0,0
FL007,FL,27981,24.4705,75.5295,6.1985,15.7,1.1079,18.2,73.9538,19.5168,0.2502,0.679,1.94,3.6632,40259,27.1,NA,178.6927,0,3,NA,50,12.8,6.77,5449,NA,75.5,Starke,44.4265,66.5615,83.7521,72.6667,61.2069,NA,10.239280987394974,8.60337088765729,county,Bradford,0.07531480161558565,0.5673556664290805,0.03563791874554526,0.29413162271323356
FL009,FL,545667,94.9256,5.0744,5.938,12.4,3.2243,13.5,77.023,9.7574,0.2861,2.0549,2.42,8.4612,48039,23.7,NA,224.3126,60,15,NA,1224,14.6,6.2,104898,NA,90.2,Palm Bay,68.7013,80.1527,86.1066,87.1445,NA,86.1879,13.209764178558524,11.560753261450484,county,Brevard,0.21563213508203685,0.4472822527832351,0.03111559496628259,0.14527690755588593
FL011,FL,1784889,99.9831,0.0169,8.4688,11.9,14.4275,14.3,42.4266,26.2602,0.1597,3.2624,2.04,25.8499,51251,27.2,NA,218.1648,100,19,NA,3894,16.7,6.39,172389,NA,87.8,Fort Lauderdale,81.8182,66.4795,73.7222,69.4519,61.3096,96.6344,14.394866786388368,12.057514630889024,county,Broward,0.32584010313747347,0.29695935865606016,0.0209540216295946,1.8578256683950074e-4
FL013,FL,14700,32.4855,67.5145,7.2189,10.2,1.932,23.5,77.517,14.2041,1.6054,0.2857,1.05,5.3401,32780,28.8,NA,163.2653,0,3,NA,24,12.5,6.34,2538,NA,73.5,Blountstown,72.6944,76.1364,85.1852,86.5169,100,NA,9.595602772766828,7.839525581704678,county,Calhoun,0.05605095541401274,0.5331210191082802,0.056687898089171976,0.3522292993630573
FL015,FL,161276,91.1157,8.8843,3.9521,13.7,3.951,12.6,85.482,5.454,0.16,1.1521,1.63,6.1193,44378,23.3,NA,166.7948,100,2,NA,269,15.9,4.53,16641,NA,88.8,Punta Gorda,100,71.0377,78.4279,78.6127,66.6667,70.8563,11.990872461970275,9.719684899460376,county,Charlotte,0.2216550564496757,0.550084073985107,0.02077828489070382,2.4021138601969732e-4
FL017,FL,140214,65.4812,34.5188,3.9374,15.8,1.5683,16.8,89.3263,2.8792,0.368,1.5198,1.12,4.7855,39100,25.9,NA,154.7634,33.33,3,NA,217,12,4.67,7194,NA,86,Inverness,74.4459,76.1905,80.8463,NA,NA,80.8447,11.850925105943862,8.881141619321468,county,Citrus,0.004030710172744722,0.08618042226487524,0,0.0736084452975048
FL019,FL,192665,85.0313,14.9687,7.4095,11.3,2.5075,9.8,76.3631,9.8243,0.3327,2.9191,2.44,8.1193,59482,32.1,NA,155.1917,33.33,3,NA,299,14.7,7.04,2538,NA,90.2,Blountstown,93.3333,69.5536,82.2793,89.4667,71.545,94.1911,12.168708208429958,7.839525581704678,county,Clay,0.24796883166246972,0.36437497030455646,0.0356345322373735,0.0014253812894949398
