location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr,percent_o,percent_u,percent_uo
OR001,OR,16055,58.9934,41.0066,6.0534,11.4,0.9218,18,92.3451,0.2803,1.2831,0.5107,2.04,3.5441,41500,15,NA,NA,NA,NA,NA,NA,16.8,5.74,NA,NA,89.4,NA,NA,43.3862,95.4545,63.945,NA,13.1034,9.683775606523614,NA,county,Baker,0.11864406779661017,0.013810420590081607,0.7765222849968613,0,0,0.09102322661644696,0.09102322661644696
OR003,OR,85989,81.2361,18.7639,4.2535,8.5,5.503,22.5,83.1246,1.0071,0.6559,5.524,3.07,6.6148,48604,18.9,NA,NA,NA,NA,NA,NA,21.5,14.01,NA,NA,94.6,NA,66.6667,55.0676,95,70.9055,NA,33.7452,11.361974660078106,NA,county,Benton,0.1571750962431966,0.0026549847338377805,0.6670649143767423,0.0011947431302270011,0,0.17191026151599628,0.17191026151599628
OR005,OR,380532,81.9214,18.0786,5.659,10.4,4.12,9.8,84.1212,0.7009,0.4386,3.7737,3.08,7.8869,64352,26.9,NA,NA,NA,NA,NA,NA,14.8,6.43,NA,NA,92.4,NA,41.1654,61.1452,95.5645,84.2983,NA,32.7602,12.849325552616277,NA,county,Clackamas,0.16334483910477676,0.009204617154734068,0.725680139553873,0.019745388412574696,0,0.08202501577404149,0.08202501577404149
OR007,OR,37157,61.0276,38.9724,6.0702,9.6,3.7247,16.5,86.9634,0.6244,0.3445,1.1088,3.18,7.7751,44683,18.2,NA,NA,NA,NA,NA,NA,18.8,6.53,NA,NA,91.5,NA,NA,50,98.3607,77.0081,NA,46.8373,10.522907457698913,NA,county,Clatsop,0.14858898061048187,0.011710501055864849,0.7122288347091572,0,0,0.12747168362449607,0.12747168362449607
OR009,OR,49333,56.3879,43.6121,6.4922,13.2,2.025,13.6,89.9439,0.227,1.3277,0.977,3.23,4.2953,54968,31.9,NA,NA,NA,NA,NA,NA,13.7,6.21,NA,NA,89.6,NA,NA,39.2704,92,73.0013,NA,40.3794,10.806348507298559,NA,county,Columbia,0.1479834868212131,0.007939028262940616,0.7268974277548428,0,0,0.11718005716100349,0.11718005716100349
OR011,OR,62753,61.6468,38.3532,4.6602,13.1,1.5681,17.8,86.5393,0.3235,2.3696,1.1314,4.02,5.6189,37940,19.4,NA,NA,NA,NA,NA,NA,19.2,5.61,NA,NA,88,NA,0,51.4357,55.8824,67.4735,NA,29.2181,11.046961664616168,NA,county,Coos,0.11686606361248905,0.004960606944849723,0.7715202801283921,2.918004085205719e-4,0,0.10636124890574847,0.10636124890574847
OR013,OR,20894,51.983,48.017,4.4144,17.2,1.3736,19.5,89.0734,0.1436,0.9716,0.4116,2.16,7.2365,38795,20,NA,NA,NA,NA,NA,NA,19.3,5.55,NA,NA,84.9,NA,0,56.7961,83.7333,73.8819,NA,59.4595,9.947217315397454,NA,county,Crook,0.05503606732567459,0.10018701576275715,0.5973817793213999,2.671653753673524e-4,0,0.24712797221480096,0.24712797221480096
OR015,OR,22361,61.2681,38.7319,2.6268,15.1,1.5339,15,88.1311,0.1252,1.7173,0.3891,3.79,5.845,39516,13,NA,NA,NA,NA,NA,NA,15.5,4.78,NA,NA,91.3,NA,NA,46.5798,96.0784,69.1304,NA,51.6484,10.015073648988146,NA,county,Curry,0.1015883520847121,0.016876240900066182,0.7610853739245532,0,0,0.12045003309066843,0.12045003309066843
OR017,OR,160565,72.3565,27.6435,5.2023,12.2,2.6911,14.5,88.1985,0.3245,0.7654,1.1242,2.06,7.5247,50209,18.6,NA,NA,NA,NA,NA,NA,17.7,5.74,NA,NA,93.1,NA,33.3333,60.1889,94.4444,75.7002,NA,55.791,11.986454123991827,NA,county,Deschutes,0.1002241594022416,8.966376089663761e-4,0.7576587795765878,1.49439601494396e-4,0,0.14107098381070984,0.14107098381070984
OR019,OR,107286,58.8221,41.1779,5.8751,14.1,1.4802,18.7,89.2418,0.2619,1.4233,0.8128,3.43,4.8319,40524,20.3,NA,NA,NA,NA,NA,NA,17.2,5.96,NA,NA,87.7,NA,0,56.5517,70,71.7383,NA,42.0997,11.583253444803258,NA,county,Douglas,0.05915952672378621,0.02447980416156671,0.8393308853529172,8.159934720522235e-5,0,0.07694818441452468,0.07694818441452468
