location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr,percent_o,percent_u
PA001,PA,101496,46.3242,53.6758,5.3407,5.9,2.6425,8.7,90.2331,1.4671,0.1773,0.7439,1.17,6.2081,59492,27.7,90,62.0714,7.14,14,4,63,13.3,7.11,7620,0,86,Gettysburg,100,84.5934,89.3208,92.1659,NA,67.0807,11.527774667820434,8.938662873666118,county,Adams,0.3518742442563482,0.47178557033454255,0.04373236598145909,0.0028214429665457475,0,0.12978637646110439
PA003,PA,1226933,97.5137,2.4863,6.0416,7.9,2.6853,12.9,80.3006,12.8921,0.1031,2.9351,2.11,1.6593,51366,26,100,200.4999,31.63,98,6,2460,12.9,6.74,305704,0,92.9,Pittsburgh,94.3287,79.9576,84.6456,84.1076,25,76.8687,14.02002811747518,12.63037586364965,county,Allegheny,0.3029438612505705,0.4249771793701506,0.06201506161570059,0.012323140118667275,5.705157462345961e-5,0.19768370607028754
PA005,PA,68614,32.5133,67.4867,5.1218,8.5,0.2011,13,97.5544,0.9561,0.0525,0.1763,0.66,0.599,45241,27.9,7,34.9783,11.11,9,NA,24,9.1,5.76,4044,NA,88.9,Kittanning,NA,70.8963,76.514,75.6944,NA,59.3705,11.136251874524806,8.305236829492593,county,Armstrong,0.31128526645768023,0.4244514106583072,0.045141065830721,0,0,0.21912225705329152
PA007,PA,170382,74.1725,25.8275,5.9788,7.6,0.6016,12.2,90.2454,5.8674,0.0082,0.5235,2.1,1.2572,49217,25.1,17,141.4469,6.9,29,8,241,10.4,5.99,9438,2,91,Aliquippa,100,61.5694,67.6989,73.0263,NA,55.102,12.045798253994892,9.152605321324945,county,Beaver,0.3129047849202513,0.5650072498791687,0.04407926534557757,0.00222329627839536,0,0.07578540357660705
PA009,PA,49490,16.2051,83.7949,4.8668,8.1,0.2809,12.6,97.3995,0.5395,0.1051,0.2708,0.71,0.9739,43290,28,19,32.3298,0,5,3,16,8.1,5.84,2841,0,85.2,Bedford,NA,66.195,80.1915,88.3721,NA,44.3038,10.809525907945932,7.952263308657046,county,Bedford,0.28329621380846326,0.6048997772828508,0.07661469933184856,0,0,0.03518930957683741
PA011,PA,412078,76.264,23.736,7.3062,9.8,3.7908,13.9,76.0773,3.982,0.0655,1.3017,1.58,16.9922,55170,24.5,36,139.5367,18.6,43,30,575,13.5,7.27,88082,0,84.3,Reading,0,73.8351,78.2306,83.3248,NA,67.3133,12.92896793080117,11.38603483076204,county,Berks,0.28822664842126605,0.5596776645887183,0.09938675181186965,4.5613501596472556e-4,0,0.05225280016218134
PA013,PA,126940,76.5692,23.4308,6.1303,7.3,0.5711,14.1,95.4435,1.793,0.0575,0.698,0.99,1.0178,42992,19,12,106.3495,13.33,15,8,135,11,6.76,46320,2,90.9,Altoona,90,65.011,80.6468,90.6566,NA,58.0982,11.751469812860462,10.743350700960299,county,Blair,0.2593294184504641,0.5740670581549536,0.07501420723621897,9.471490812653912e-4,0,0.09064216707709793
PA015,PA,62624,27.8257,72.1743,5.4723,6,0.6627,13.3,96.4934,0.5541,0.0495,0.5876,1.04,1.2775,46963,22.5,7,106.9877,0,8,4,67,9.1,5.93,5587,0,87.3,Sayre,50,61.1638,76.2274,81.5029,NA,34,11.044903870195803,8.628376720376853,county,Bradford,0.42660550458715596,0.41770102536427417,0.0466810577441986,0.0010793308148947653,0,0.10793308148947653
PA017,PA,625977,91.1704,8.8296,4.5254,8.1,2.9733,5.4,86.3768,3.5396,0.0856,4.0415,1.51,4.447,76555,28.3,38,124.6052,46.34,41,27,780,7.2,6.23,60472,0,93.3,Bensalem,100,76.8302,77.868,87.1311,NA,71.0294,13.347068908193203,11.009952263414197,county,Bucks,0.445211208699289,0.35675449602676707,0.07289239409691103,5.9747864013861504e-5,0,0.12508215331301906
PA019,PA,184535,58.0359,41.9641,4.7778,7,0.6736,9.3,95.6501,1.0795,0.0959,1.1039,0.93,1.1423,58230,26.4,13,78.034,30.77,13,6,144,11.7,6.87,13757,0,92.7,Butler,83.871,47.1039,64.5268,80.7737,0,24.2577,12.125594426368608,9.52937575208596,county,Butler,0.2357429718875502,0.4551204819277108,0.0856425702811245,0.003112449799196787,6.024096385542169e-4,0.21977911646586346
