measure_id,measure_name,measure_format,filter_id,demographics,location_id,location_type,location_name,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average,population,total_cases,median_household_income,num_full_time_prosecutors,total_num_law_enforcement_agencies
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA,state,Pennsylvania,98382,134310,73.2499,8035,5.6447,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,12731381,935686,52548,NA,NA
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA001,county,Adams,741,1051,70.5043,19,1.7757,OK,NA,NA,NA,NA,NA,NA,NA,101496,5154,59492,4,14
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA003,county,Allegheny,6643,10520,63.1464,645,5.777,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,1226933,73141,51366,6,98
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA005,county,Armstrong,356,475,74.9474,150,24,EXCEEDS_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,68614,3276,45241,NA,9
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA007,county,Beaver,1452,1784,81.3901,63,3.4109,OK,NA,NA,NA,NA,NA,NA,NA,170382,10859,49217,8,29
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA009,county,Bedford,417,501,83.2335,0,0,OK,NA,NA,NA,NA,NA,NA,NA,49490,2397,43290,3,5
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA011,county,Berks,1989,3960,50.2273,14,0.3523,OK,NA,NA,NA,NA,NA,NA,NA,412078,20866,55170,30,43
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA013,county,Blair,1537,1785,86.1064,190,9.6203,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,126940,11610,42992,8,15
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA015,county,Bradford,495,751,65.9121,120,13.7773,EXCEEDS_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,62624,4057,46963,4,8
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA017,county,Bucks,5629,7646,73.6202,301,3.7876,OK,NA,NA,NA,NA,NA,NA,NA,625977,34866,76555,27,41
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA019,county,Butler,1445,1853,77.9817,61,3.187,OK,NA,NA,NA,NA,NA,NA,NA,184535,10793,58230,6,13
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA021,county,Cambria,1083,1578,68.6312,69,4.1894,OK,NA,NA,NA,NA,NA,NA,NA,142448,9796,41730,1,28
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA023,county,Cameron,53,59,89.8305,0,0,OK,NA,NA,NA,NA,NA,NA,NA,5000,330,41410,0,2
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA025,county,Carbon,624,859,72.6426,26,2.9379,OK,NA,NA,NA,NA,NA,NA,NA,65074,4060,48900,3,13
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA027,county,Centre,1158,1858,62.3251,20,1.065,OK,NA,NA,NA,NA,NA,NA,NA,154460,7288,50336,8,4
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA029,county,Chester,2975,3953,75.2593,75,1.862,OK,NA,NA,NA,NA,NA,NA,NA,503075,20967,86050,36,44
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA031,county,Clarion,364,442,82.3529,25,5.3533,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,39720,2386,42389,2,6
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA033,county,Clearfield,653,787,82.9733,67,7.8454,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,81536,4622,41030,4,9
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA035,county,Clinton,387,487,79.4661,2,0.409,OK,NA,NA,NA,NA,NA,NA,NA,39501,2185,42184,2,8
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA037,county,Columbia,578,823,70.2309,27,3.1765,OK,NA,NA,NA,NA,NA,NA,NA,67021,3778,44807,1,11
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA039,county,Crawford,931,1081,86.124,26,2.3487,OK,NA,NA,NA,NA,NA,NA,NA,88173,4733,42504,5,15
7,Nonviolent Misdemeanor Cases with Nonmonetary Release (ROR),PERCENTAGE,1,all defendants,PA041,county,Cumberland,1616,2403,67.2493,237,8.9773,HIGH_MISSING_UNFILT,NA,NA,NA,NA,NA,NA,NA,237449,13507,60826,NA,21
