id,type,name
FL,state,Florida
FL001,county,Alachua
FL003,county,Baker
FL005,county,Bay
FL007,county,Bradford
FL009,county,Brevard
FL011,county,Broward
FL013,county,Calhoun
FL015,county,Charlotte
FL017,county,Citrus
FL019,county,Clay
FL021,county,Collier
FL023,county,Columbia
FL027,county,DeSoto
FL029,county,Dixie
FL031,county,Duval
FL033,county,Escambia
FL035,county,Flagler
FL037,county,Franklin
FL039,county,Gadsden
FL041,county,Gilchrist
FL043,county,Glades
FL045,county,Gulf
FL047,county,Hamilton
FL049,county,Hardee
FL051,county,Hendry
FL053,county,Hernando
FL055,county,Highlands
FL057,county,Hillsborough
FL059,county,Holmes
FL061,county,Indian River
FL063,county,Jackson
FL065,county,Jefferson
FL067,county,Lafayette
FL069,county,Lake
FL071,county,Lee
FL073,county,Leon
FL075,county,Levy
FL077,county,Liberty
FL079,county,Madison
FL081,county,Manatee
FL083,county,Marion
FL085,county,Martin
FL086,county,Miami-Dade
FL087,county,Monroe
FL089,county,Nassau
FL091,county,Okaloosa
FL093,county,Okeechobee
FL095,county,Orange
FL097,county,Osceola
FL099,county,Palm Beach
FL101,county,Pasco
FL103,county,Pinellas
FL105,county,Polk
FL107,county,Putnam
FL109,county,St. Johns
FL111,county,St. Lucie
FL113,county,Santa Rosa
FL115,county,Sarasota
FL117,county,Seminole
FL119,county,Sumter
FL121,county,Suwannee
FL123,county,Taylor
FL125,county,Union
FL127,county,Volusia
FL129,county,Wakulla
FL131,county,Walton
FL133,county,Washington
