id,type,name
OR,state,Oregon
OR001,county,Baker
OR003,county,Benton
OR005,county,Clackamas
OR007,county,Clatsop
OR009,county,Columbia
OR011,county,Coos
OR013,county,Crook
OR015,county,Curry
OR017,county,Deschutes
OR019,county,Douglas
OR021,county,Gilliam
OR023,county,Grant
OR025,county,Harney
OR027,county,Hood River
OR029,county,Jackson
OR031,county,Jefferson
OR033,county,Josephine
OR035,county,Klamath
OR037,county,Lake
OR039,county,Lane
OR041,county,Lincoln
OR043,county,Linn
OR045,county,Malheur
OR047,county,Marion
OR049,county,Morrow
OR051,county,Multnomah
OR053,county,Polk
OR055,county,Sherman
OR057,county,Tillamook
OR059,county,Umatilla
OR061,county,Union
OR063,county,Wallowa
OR065,county,Wasco
OR067,county,Washington
OR069,county,Wheeler
OR071,county,Yamhill
