measure_id,filter_id,location_id,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average
7,1,PA,98382,134310,73.2499,8035,5.6447,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA001,741,1051,70.5043,19,1.7757,OK,,,,,,,
7,1,PA003,6643,10520,63.1464,645,5.777,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA005,356,475,74.9474,150,24,EXCEEDS_MISSING_UNFILT,,,,,,,
7,1,PA007,1452,1784,81.3901,63,3.4109,OK,,,,,,,
7,1,PA009,417,501,83.2335,0,0,OK,,,,,,,
7,1,PA011,1989,3960,50.2273,14,0.3523,OK,,,,,,,
7,1,PA013,1537,1785,86.1064,190,9.6203,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA015,495,751,65.9121,120,13.7773,EXCEEDS_MISSING_UNFILT,,,,,,,
7,1,PA017,5629,7646,73.6202,301,3.7876,OK,,,,,,,
7,1,PA019,1445,1853,77.9817,61,3.187,OK,,,,,,,
7,1,PA021,1083,1578,68.6312,69,4.1894,OK,,,,,,,
7,1,PA023,53,59,89.8305,0,0,OK,,,,,,,
7,1,PA025,624,859,72.6426,26,2.9379,OK,,,,,,,
7,1,PA027,1158,1858,62.3251,20,1.065,OK,,,,,,,
7,1,PA029,2975,3953,75.2593,75,1.862,OK,,,,,,,
7,1,PA031,364,442,82.3529,25,5.3533,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA033,653,787,82.9733,67,7.8454,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA035,387,487,79.4661,2,0.409,OK,,,,,,,
7,1,PA037,578,823,70.2309,27,3.1765,OK,,,,,,,
7,1,PA039,931,1081,86.124,26,2.3487,OK,,,,,,,
7,1,PA041,1616,2403,67.2493,237,8.9773,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA043,3697,4767,77.554,511,9.6817,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA045,3604,6015,59.9169,482,7.4188,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA047,356,383,92.9504,0,0,OK,,,,,,,
7,1,PA049,1678,2477,67.7432,673,21.3651,EXCEEDS_MISSING_UNFILT,,,,,,,
7,1,PA051,1273,1565,81.3419,20,1.2618,OK,,,,,,,
7,1,PA053,63,69,91.3043,9,11.5385,EXCEEDS_MISSING_UNFILT,,,,,,,
7,1,PA055,1765,2108,83.7287,53,2.4526,OK,,,,,,,
7,1,PA057,152,163,93.2515,4,2.3952,OK,,,,,,,
7,1,PA059,309,376,82.1809,17,4.3257,OK,,,,,,,
7,1,PA061,426,481,88.5655,13,2.6316,OK,,,,,,,
7,1,PA063,682,945,72.1693,60,5.9701,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA065,332,443,74.9436,14,3.0635,OK,,,,,,,
7,1,PA067,110,152,72.3684,10,6.1728,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA069,954,1491,63.9839,559,27.2683,EXCEEDS_MISSING_UNFILT,,,,,,,
7,1,PA071,3808,4876,78.0968,499,9.2837,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA073,734,923,79.5233,127,12.0952,EXCEEDS_MISSING_UNFILT,,,,,,,
7,1,PA075,1407,1653,85.118,27,1.6071,OK,,,,,,,
7,1,PA077,3253,5132,63.3866,295,5.4358,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA079,2545,3032,83.938,216,6.6502,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA081,1716,2031,84.4904,142,6.5347,HIGH_MISSING_UNFILT,,,,,,,
7,1,PA083,369,462,79.8701,20,4.1494,OK,,,,,,,
7,1,PA085,1273,1608,79.1667,77,4.5697,OK,,,,,,,
7,1,PA087,364,438,83.105,10,2.2321,OK,,,,,,,
