id,type,name
PA,state,Pennsylvania
PA001,county,Adams
PA003,county,Allegheny
PA005,county,Armstrong
PA007,county,Beaver
PA009,county,Bedford
PA011,county,Berks
PA013,county,Blair
PA015,county,Bradford
PA017,county,Bucks
PA019,county,Butler
PA021,county,Cambria
PA023,county,Cameron
PA025,county,Carbon
PA027,county,Centre
PA029,county,Chester
PA031,county,Clarion
PA033,county,Clearfield
PA035,county,Clinton
PA037,county,Columbia
PA039,county,Crawford
PA041,county,Cumberland
PA043,county,Dauphin
PA045,county,Delaware
PA047,county,Elk
PA049,county,Erie
PA051,county,Fayette
PA053,county,Forest
PA055,county,Franklin
PA057,county,Fulton
PA059,county,Greene
PA061,county,Huntingdon
PA063,county,Indiana
PA065,county,Jefferson
PA067,county,Juniata
PA069,county,Lackawanna
PA071,county,Lancaster
PA073,county,Lawrence
PA075,county,Lebanon
PA077,county,Lehigh
PA079,county,Luzerne
PA081,county,Lycoming
PA083,county,McKean
PA085,county,Mercer
PA087,county,Mifflin
PA089,county,Monroe
PA091,county,Montgomery
PA093,county,Montour
PA095,county,Northampton
PA097,county,Northumberland
PA099,county,Perry
PA101,county,Philadelphia
PA103,county,Pike
PA105,county,Potter
PA107,county,Schuylkill
PA109,county,Snyder
PA111,county,Somerset
PA113,county,Sullivan
PA115,county,Susquehanna
PA117,county,Tioga
PA119,county,Union
PA121,county,Venango
PA123,county,Warren
PA125,county,Washington
PA127,county,Wayne
PA129,county,Westmoreland
PA131,county,Wyoming
PA133,county,York
