measure_id,legal_context_id
12,PRE.t
11,PRE.f
8,PRE.f
11,PRE.nf
12,PRE.nf
8,PTD.h2
8,PTD.h3
12,BBA.a
8,BBA.a
23,PTV.a
23,PTV.b
23,PTV.d
23,PTV.e
12,PTS.a
8,PTS.a
11,IDS.b
12,IDS.b
33,IDS.b
8,IDS.b
33,IDS.e
35,STO.b
35,PRB.v
35,PRB.j1
35,EMP.q
35,EMP.p
35,EMP.d
35,PBA.b
23,CCR.a
23,CCR.c
35,CCR.c
23,CCR.p
35,CCR.p
23,CCR.r
35,CCR.r
33,OTR.d
33,OTR.l
35,OTR.l
23,OCC.c
35,OCC.c
33,JDR.a
33,CTF.t
33,CTF.r
33,CTF.c
103,ACG.a
104,ACG.a
105,ACG.a
137,ACG.a
140,ACG.a
141,ACG.a
501,ACG.a
504,ACG.a
505,ACG.a
507,ACG.a
508,ACG.a
510,ACG.a
512,ACG.a
514,ACG.a
516,ACG.a
518,ACG.a
520,ACG.a
522,ACG.a
524,ACG.a
525,ACG.a
526,ACG.a
527,ACG.a
532,ACG.a
533,ACG.a
534,ACG.a
537,ACG.a
539,ACG.a
543,ACG.a
544,ACG.a
545,ACG.a
546,ACG.a
548,ACG.a
100,ACG.a
102,ACG.a
106,ACG.a
11,ACG.a
113,ACG.a
114,ACG.a
115,ACG.a
116,ACG.a
119,ACG.a
12,ACG.a
120,ACG.a
135,ACG.a
136,ACG.a
17,ACG.a
18,ACG.a
23,ACG.a
2511,ACG.a
33,ACG.a
35,ACG.a
8,ACG.a
103,ACG.j
104,ACG.j
105,ACG.j
137,ACG.j
140,ACG.j
141,ACG.j
501,ACG.j
504,ACG.j
505,ACG.j
507,ACG.j
508,ACG.j
510,ACG.j
512,ACG.j
514,ACG.j
516,ACG.j
518,ACG.j
520,ACG.j
522,ACG.j
524,ACG.j
525,ACG.j
526,ACG.j
527,ACG.j
532,ACG.j
533,ACG.j
534,ACG.j
537,ACG.j
539,ACG.j
543,ACG.j
544,ACG.j
545,ACG.j
546,ACG.j
548,ACG.j
100,ACG.j
102,ACG.j
106,ACG.j
11,ACG.j
113,ACG.j
114,ACG.j
115,ACG.j
116,ACG.j
119,ACG.j
12,ACG.j
120,ACG.j
135,ACG.j
136,ACG.j
17,ACG.j
18,ACG.j
23,ACG.j
2511,ACG.j
33,ACG.j
35,ACG.j
8,ACG.j
