location_id,CR Self-Represented,CR Private,CR Public Defender,CR Court Appointed,CR Other,CR Unknown,Population,Urban Population,Rural Population,Unemployment Rate,High School Graduates,Below Poverty Line,White Population,African American Population,Median Household Income,"Police Officers per 100,000 Residents",Total Number of Law Enforcement Agencies
FL,65.14,65.3546,77.6854,77.4653,52.8404,84.9561,19091156,91.163,8.837,11.8,86.1,16.3,57.2325,15.3264,46956,NA,NA
FL001,36.6335,49.9428,79.4498,76.6654,NA,NA,249848,78.8066,21.1934,8.6,91.2,24.9,63.2921,19.732,42149,246.5499,4
FL003,42.5,76.1905,77.2051,76.0274,63.9594,NA,27069,40.5089,59.4911,11.4,80.1,17.3,82.2786,13.9126,49236,221.6558,1
FL005,NA,NA,NA,NA,NA,NA,170704,88.0001,11.9999,9.9,87,14.7,78.8124,10.0982,47461,241.9393,7
FL007,44.4265,66.5615,83.7521,72.6667,61.2069,NA,27981,24.4705,75.5295,15.7,75.5,18.2,73.9538,19.5168,40259,178.6927,3
FL009,68.7013,80.1527,86.1066,87.1445,NA,86.1879,545667,94.9256,5.0744,12.4,90.2,13.5,77.023,9.7574,48039,224.3126,15
FL011,81.8182,66.4795,73.7222,69.4519,61.3096,96.6344,1784889,99.9831,0.0169,11.9,87.8,14.3,42.4266,26.2602,51251,218.1648,19
FL013,72.6944,76.1364,85.1852,86.5169,100,NA,14700,32.4855,67.5145,10.2,73.5,23.5,77.517,14.2041,32780,163.2653,3
FL015,100,71.0377,78.4279,78.6127,66.6667,70.8563,161276,91.1157,8.8843,13.7,88.8,12.6,85.482,5.454,44378,166.7948,2
FL017,74.4459,76.1905,80.8463,NA,NA,80.8447,140214,65.4812,34.5188,15.8,86,16.8,89.3263,2.8792,39100,154.7634,3
FL019,93.3333,69.5536,82.2793,89.4667,71.545,94.1911,192665,85.0313,14.9687,11.3,90.2,9.8,76.3631,9.8243,59482,155.1917,3
FL021,60.3227,67.2491,82.8104,NA,NA,74.575,328209,91.5141,8.4859000000000009,10.1,85.8,14.1,65.2971,6.4608,55843,206.8804,3
FL023,49.9833,75.1269,89.3562,87.2,NA,NA,67568,37.9426,62.0574,18.8,82.6,19.8,74.1238,17.4565,38070,187.9588,2
FL027,NA,NA,NA,NA,NA,NA,34651,53.7577,46.2423,12.6,71.3,29.6,55.8397,12.8366,34963,210.6721,2
FL029,78.3951,84.4444,94.5876,100,90,NA,16234,22.9753,77.0247,9,78.5,17.4,86.0601,8.4514,33981,166.3176,2
FL031,NA,NA,NA,NA,NA,NA,872598,97.0885,2.9115,11.7,87.9,16.9,56.1493,28.8844,48323,201.3527,7
FL033,64.0957,72.4362,74.9699,71.0988,80,NA,300795,91.6978,8.3022,12,87.9,18.1,66.0177,21.9059,43918,226.7325,2
FL035,NA,NA,NA,NA,NA,NA,97301,89.6788,10.3212,12.4,90.2,16.6,75.7628,10.8735,47233,170.6046,3
FL037,70.9109,76.0181,92.8707,85.4839,NA,NA,11554,31.9595,68.0405,12,79.3,20.6,79.0549,14.7568,38328,432.7506,3
FL039,90.4124,68.5535,76.4948,77.4419,81.8182,0,46860,34.6203,65.3797,14.1,77.2,26.5,33.2864,55.0384,35380,228.3397,7
FL041,13.9442,62.3762,60.0522,68.4211,100,NA,16917,16.0812,83.9188,16.5,79.8,24.1,87.616,5.592,38406,200.9813,2
FL043,66.1504,60.3175,73.7179,70.5882,NA,NA,13080,29.362,70.638,15.8,78,24.5,61.2003,12.2324,34694,733.945,1
FL045,75.985,71.4286,84.9673,86.2745,NA,NA,15793,22.915,77.085,11.9,79.5,16.4,74.3051,18.3626,40455,430.5705,2
FL047,80.5839,83.7607,86.7746,89.6296,NA,NA,14655,36.516,63.484,16.3,75.1,23.6,54.9642,34.8345,37716,204.7083,3
FL049,46.6797,69.6793,80.4854,90.4762,89.0909,NA,27336,52.1907,47.8093,13.9,64.2,29.6,47.86,7.1554,37125,248.7562,5
FL051,78.0207,73.1417,78.9253,65.5914,NA,NA,38346,62.1078,37.8922,15.4,64.4,26.7,34.5721,12.3924,35425,229.4894,2
FL053,55.3939,73.0078,86.8701,85.3521,71.8822,NA,173119,80.6248,19.3752,17.2,86.5,15.4,81.5208,4.9602,41024,188.8874,2
FL055,75.854,67.6471,74.7421,69.0141,49.2754,NA,98275,78.9343,21.0657,15.2,81,20.1,70.0901,9.1824,35560,227.9318,4
FL057,63.2705,75.2129,82.7867,NA,NA,84.2824,1257913,96.4871,3.5129,11,86.8,16.8,53.0696,15.7636,49596,181.6501,6
FL059,77.4744,94.051,96.0993,86.5079,91.7031,NA,19864,21.2275,78.7725,11.1,75.5,23.8,88.1192,5.447,35511,130.8901,2
FL061,86.0803,86.4882,88.2192,85.5556,NA,96.8,139356,95.0322,4.9678,14.7,87,15.1,77.0925,8.8213,44772,292.7753,5
FL063,59.2885,78.7013,89.6279,83.871,NA,NA,49326,24.6372,75.3628,12.9,78,19.9,66.0727,26.1404,36809,190.5689,5
FL065,55.144,85.0242,93.1398,89.3204,NA,NA,14469,0,100,14.9,81.2,17.2,57.3778,36.3951,44170,228.0738,2
FL067,50.8197,70,82.8244,76.6234,0,NA,8745,0,100,11.2,78.4,20.2,72.7959,14.8428,39722,125.7862,1
FL069,70.8343,66.4382,86.0769,86.875,NA,NA,300926,80.7461,19.2539,12,86.4,13.8,73.1951,9.4748,45035,202.3753,13
FL071,82.8904,49.285,57.0265,63.1115,4.6771,62.5595,633968,94.1798,5.8202,13.5,86.9,15.4,70.4283,8.005,47439,153.951,4
FL073,NA,80.3101,88.7687,NA,75.7143,100,278624,87.6905,12.3095,11.2,91.8,23.2,58.5894,30.2788,46369,211.396,2
FL075,65.3421,50.4587,70.9365,NA,NA,40,40289,7.9508,92.0492,14.8,81.1,23.7,80.6051,9.4219,34348,235.7964,4
FL077,60.9626,91.5493,92.1101,84.8485,87.5,NA,8308,0,100,20.6,75.6,24.1,71.1363,17.1762,39681,180.5489,1
FL079,61.8003,54.9407,71.6364,59.375,0,NA,19070,19.9906,80.0094,14.2,78.2,22.5,54.688,37.8553,33833,277.9234,2
FL081,75.228,82.3466,91.9759,90.6667,84.375,NA,329487,94.2097,5.7903,11.3,87.4,15.1,73.0536,8.6765,47876,222.1635,5
FL083,78.67,78.4885,86.7067,81.6735,81.25,99.1171,333503,68.9717,31.0283,13.8,85,18.1,73.4263,12.2272,39453,191.0028,4
FL085,64.6529,85.5518,87.7347,86.8098,97.0149,NA,147786,91.5233,8.4767,12.8,88.8,13,79.7586,5.2231,49846,213.146,4
FL086,NA,NA,70.0423,NA,46.2372,NA,2549075,99.5956,0.4044,11.8,78.8,19.9,15.5649,17.1193,43100,247.8546,33
FL087,55.5556,77.4599,79.9765,85.1613,68.6254,89.0889,74213,91.2861,8.7139,7.5,89.9,13.5,70.295,6.2644,53607,398.852,4
