location_id,CR Self-Represented,CR Private,CR Public Defender,CR Court Appointed,CR Other,CR Unknown,Population,Urban Population,Rural Population,Unemployment Rate,High School Graduates,Below Poverty Line,White Population,African American Population,Median Household Income
OR,44.9495,57.8887,80.3741,75.7038,NA,25.1956,3868721,81.0316,18.9684,11.3,89.4,16.2,78.021,1.7118,50229
OR001,NA,43.3862,95.4545,63.945,NA,13.1034,16055,58.9934,41.0066,11.4,89.4,18,92.3451,0.2803,41500
OR003,66.6667,55.0676,95,70.9055,NA,33.7452,85989,81.2361,18.7639,8.5,94.6,22.5,83.1246,1.0071,48604
OR005,41.1654,61.1452,95.5645,84.2983,NA,32.7602,380532,81.9214,18.0786,10.4,92.4,9.8,84.1212,0.7009,64352
OR007,NA,50,98.3607,77.0081,NA,46.8373,37157,61.0276,38.9724,9.6,91.5,16.5,86.9634,0.6244,44683
OR009,NA,39.2704,92,73.0013,NA,40.3794,49333,56.3879,43.6121,13.2,89.6,13.6,89.9439,0.227,54968
OR011,0,51.4357,55.8824,67.4735,NA,29.2181,62753,61.6468,38.3532,13.1,88,17.8,86.5393,0.3235,37940
OR013,0,56.7961,83.7333,73.8819,NA,59.4595,20894,51.983,48.017,17.2,84.9,19.5,89.0734,0.1436,38795
OR015,NA,46.5798,96.0784,69.1304,NA,51.6484,22361,61.2681,38.7319,15.1,91.3,15,88.1311,0.1252,39516
OR017,33.3333,60.1889,94.4444,75.7002,NA,55.791,160565,72.3565,27.6435,12.2,93.1,14.5,88.1985,0.3245,50209
OR019,0,56.5517,70,71.7383,NA,42.0997,107286,58.8221,41.1779,14.1,87.7,18.7,89.2418,0.2619,40524
OR021,NA,50,100,60.1064,NA,0,1915,0,100,11.7,91,11.8,88.8773,0.5222,44743
OR023,44.4444,59.0278,76.4706,73.906,NA,45.2381,7359,0,100,10.8,89.5,17.3,92.7979,0.3261,35051
OR025,NA,44.6154,33.3333,70.9677,NA,34.6939,7314,55.6589,44.3411,10.4,87.9,18.6,88.9937,0.4649,38113
OR027,NA,50.1493,70.4026,71.4634,NA,39.5349,22427,47.8251,52.1749,5.3,84.1,11.6,65.6084,0.486,56725
OR029,50,57.8804,86.4078,73.0811,NA,52.2036,205117,79.9474,20.0526,13.1,89.1,17.2,83.1774,0.624,44005
OR031,NA,68.4729,100,81.0559,NA,65.5612,21461,36.8785,63.1215,16.1,84.7,19.8,61.0363,0.6337,43373
OR033,NA,64.3939,96.3768,80.4706,NA,45.6522,82783,55.0361,44.9639,15.2,88.4,20.2,88.3176,0.3382,37733
OR035,50,56.3233,100,70.2232,NA,39.814,66211,62.4194,37.5806,13.8,87.7,18.9,80.467,0.6842,39627
OR037,NA,50.8621,NA,72.8471,NA,25.5682,7862,36.6688,63.3312,13.3,83.7,20.1,86.5174,0.4833,33611
OR039,30,67.0425,79.8054,77.3031,NA,26.8775,353382,82.477,17.523,12.3,91.1,20,84.1509,0.8753,42931
OR041,0,45.7457,89.2086,66.2254,NA,74.3842,46070,62.4104,37.5896,10.3,89.9,16,83.8463,0.3147,42365
OR043,50,68.4641,100,83.6808,NA,42.399,117648,68.3617,31.6383,10.8,89.1,17.8,86.7571,0.453,46939
OR045,50,57.0652,91.3043,77.5504,NA,44.697,30898,51.5824,48.4176,14.6,80.4,27.4,62.9814,0.8609,35578
OR047,66.6667,67.3279,86.1111,86.7927,NA,38.535,318441,86.9063,13.0937,13.3,83.2,18.6,67.8399,0.9088,46885
OR049,100,64,0,74.9491,NA,8.6957,11218,54.1305,45.8695,10.1,75.5,18,63.6745,0.1694,49940
OR051,22.6804,46.0629,86.5087,65.9223,NA,6.3699,747641,98.6578,1.3422,10.6,89.7,17.8,71.9694,5.4586,52511
OR053,NA,45.0299,94.1176,67.218,NA,34.6405,75930,80.0737,19.9263,11.3,89.8,16.5,80.2002,0.4162,52808
OR055,NA,48.5714,100,71.1382,NA,48.5714,1865,0,100,7.7,92.4,22.1,90.2413,0.1072,42639
OR057,NA,58.9649,83.3333,70.9817,NA,31.5175,25300,30.396,69.604,9,88.1,16.1,86.2134,0.4506,43676
OR059,57.1429,56.7613,87.3016,76.7059,NA,16.8919,76306,70.9339,29.0661,10.9,81.9,16.5,68.9343,0.595,48389
OR061,50,62.4294,100,80.8592,NA,58.1262,25741,57.9035,42.0965,9.3,90.6,18.6,90.2801,0.5439,42542
OR063,NA,51.5152,100,65.2695,NA,51.2397,6924,0,100,12.2,93.5,13.4,94.223,0.4333,41994
OR065,100,66.4706,92.0635,77.9633,NA,57.6419,25281,66.9337,33.0663,10.8,85.1,18.2,76.9511,0.3876,43765
OR067,84.3137,64.4864,85.1852,85.8216,NA,48.4364,539608,94.41,5.59,9.6,90.8,11.4,69.2556,1.6929,64180
OR069,NA,45,NA,64.4068,NA,40,1292,0,100,10.4,88.6,15.6,94.2724,0,37974
OR071,100,68.0243,100,83.1658,NA,24.2762,99802,77.3966,22.6034,10.7,88,14.6,78.9213,0.8256,54535
