location_id,CR Self-Represented,CR Private,CR Public Defender,CR Court Appointed,CR Other,CR Unknown,Population,Urban Population,Rural Population,Unemployment Rate,Below Poverty Line,White Population,African American Population,Median Household Income,Number of Criminal Court Judges,"Police Officers per 100,000 Residents",Total Number of Law Enforcement Agencies,Number of Full-Time Prosecutors,Number of Part-Time Prosecutors,High School Graduates
PA,89.7182,68.2124,72.5408,76.1809,10,57.6908,12731381,78.6568,21.3432,9,13.3,78.9984,10.4719,52548,NA,NA,NA,NA,NA,88.7
PA001,100,84.5934,89.3208,92.1659,NA,67.0807,101496,46.3242,53.6758,5.9,8.7,90.2331,1.4671,59492,90,62.0714,14,4,0,86
PA003,94.3287,79.9576,84.6456,84.1076,25,76.8687,1226933,97.5137,2.4863,7.9,12.9,80.3006,12.8921,51366,100,200.4999,98,6,0,92.9
PA005,NA,70.8963,76.514,75.6944,NA,59.3705,68614,32.5133,67.4867,8.5,13,97.5544,0.9561,45241,7,34.9783,9,NA,NA,88.9
PA007,100,61.5694,67.6989,73.0263,NA,55.102,170382,74.1725,25.8275,7.6,12.2,90.2454,5.8674,49217,17,141.4469,29,8,2,91
PA009,NA,66.195,80.1915,88.3721,NA,44.3038,49490,16.2051,83.7949,8.1,12.6,97.3995,0.5395,43290,19,32.3298,5,3,0,85.2
PA011,0,73.8351,78.2306,83.3248,NA,67.3133,412078,76.264,23.736,9.8,13.9,76.0773,3.982,55170,36,139.5367,43,30,0,84.3
PA013,90,65.011,80.6468,90.6566,NA,58.0982,126940,76.5692,23.4308,7.3,14.1,95.4435,1.793,42992,12,106.3495,15,8,2,90.9
PA015,50,61.1638,76.2274,81.5029,NA,34,62624,27.8257,72.1743,6,13.3,96.4934,0.5541,46963,7,106.9877,8,4,0,87.3
PA017,100,76.8302,77.868,87.1311,NA,71.0294,625977,91.1704,8.8296,8.1,5.4,86.3768,3.5396,76555,38,124.6052,41,27,0,93.3
PA019,83.871,47.1039,64.5268,80.7737,0,24.2577,184535,58.0359,41.9641,7,9.3,95.6501,1.0795,58230,13,78.034,13,6,0,92.7
PA021,78.6517,59.9655,80.3814,85.9268,NA,65.8482,142448,67.9939,32.006100000000004,8.8,14.9,93.0845,3.4335,41730,15,85.6453,28,1,0,88.8
PA023,NA,62.963,78.1095,100,NA,53.8462,5000,52.645,47.355,7.1,13.1,97.58,0.76,41410,2,40,2,0,1,86.4
PA025,NA,71.8599,81.2308,87.3362,NA,75.3301,65074,52.8376,47.1624,10.4,11.6,93.3952,1.3124,48900,7,82.9825,13,3,2,87.4
PA027,NA,69.4915,81.5973,88.6973,NA,24.1265,154460,67.7823,32.2177,5.8,20.5,87.5696,2.9937,50336,11,86.1064,4,8,0,92.7
PA029,100,68.7472,88.0687,91.2338,NA,37.2776,503075,86.7234,13.2766,6.7,6.9,81.6773,5.8462,86050,35,100.3826,44,36,0,92.8
PA031,NA,55.4276,66.3928,75.2212,NA,47.5472,39720,23.4395,76.5605,8.9,18.3,96.7598,1.2261,42389,5,73.0111,6,2,1,87.9
PA033,93.3333,72.3801,87.233,93,NA,56,81536,46.1503,53.8497,9.4,14.5,93.9781,2.123,41030,6,56.4168,9,4,0,87
PA035,NA,77.4436,81.5903,79.0698,NA,27.8788,39501,54.3096,45.6904,7.5,16.1,95.59,1.3493,42184,7,30.379,8,2,0,86.2
PA037,NA,64.4535,77.6855,81.6129,NA,23.2727,67021,59.1485,40.8515,6.3,16.6,94.1078,1.8905,44807,6,95.4925,11,1,3,88
PA039,100,89.729,90.6752,93.8356,NA,86.5837,88173,36.2992,63.7008,9.1,15.9,95.5111,1.6241,42504,7,55.5726,15,5,0,86.8
PA041,NA,82.6528,84.2023,85.7545,NA,45.9459,237449,77.8221,22.1779,6.5,8.3,88.785,3.1295,60826,18,96.8629,21,NA,NA,91.1
PA043,89.0411,72.794,82.8054,84.2593,NA,64.9685,269035,86.6766,13.3234,7.7,13.3,69.4858,17.0628,54066,24,168.3796,21,22,0,89
PA045,90,72.7496,86.8805,88.8693,NA,92.2597,559771,99.5361,0.4639,9.1,10.3,70.4317,19.8204,64041,55,139.5213,47,49,0,91.8
PA047,NA,57.0406,79.0356,82.9268,NA,59.5092,31799,44.3248,55.6752,6.9,10.4,97.8207,0.5094,45767,3,94.3426,5,1,1,90.5
PA049,NA,67.6753,74.9414,80.9202,NA,43.36,280518,79.9805,20.0195,9.3,16.9,86.2818,6.8092,45202,26,109.7969,13,NA,NA,89.9
PA051,93.0233,79.7243,78.6048,88.1402,NA,53.4826,136145,52.1024,47.8976,10,18.4,92.7114,4.136,39115,14,52.1503,15,10,0,85.4
PA053,NA,50.5263,75.974,88.2353,NA,41.6667,7696,0,100,7.3,16.3,75.065,17.7885,36556,6,0,1,0,1,81.6
PA055,0,67.4276,78.1273,82.0593,NA,50.2699,150594,59.6479,40.3521,7.9,11,89.8356,3.3122,52637,14,89.645,8,8,1,85.3
PA057,NA,63.4752,74.2004,80.9091,NA,50.8287,14779,0,100,9.6,11.1,96.7251,1.2112,48461,7,0,2,1,0,84.9
PA059,NA,68.7143,77.8462,87.0432,NA,60.8696,38362,33.167,66.833,7.3,14.7,91.867,5.1379,44388,7,75.5956,4,NA,NA,85.1
PA061,NA,52.9114,73.0662,79.4393,NA,34.3915,45874,31.3375,68.6625,7.8,12.7,91.5965,5.2295,44183,5,43.5977,4,1,1,87.7
PA063,90.9091,66.2906,77.6562,84.4898,NA,39.0558,88404,39.9302,60.0698,8.6,17.7,94.1971,2.4524,43997,6,46.378,7,4,0,87.8
PA065,NA,71.1569,70.6422,40,NA,76.9327,45015,38.5398,61.4602,7.7,15.3,97.6963,0.3466,41262,4,53.3156,6,2,0,87.6
PA067,NA,80.5085,84.812,84.2105,NA,72.7273,24737,17.7464,82.2536,7.9,11.8,95.529,0.7277,46163,5,76.808,2,NA,NA,82.9
PA069,88.8889,64.1075,71.5184,80.1556,NA,30.9619,214275,83.6945,16.3055,8,13.6,89.1901,2.4198,46044,22,126.9397,22,14,4,88.9
PA071,95.8333,62.3395,77.5214,84.9094,NA,41.2614,523306,78.7429,21.2571,7.4,10.5,84.3508,3.249,56483,36,111.7893,30,28,0,83.9
PA073,73.4177,58.2222,66.2887,77.3256,NA,32.6146,90374,59.6819,40.3181,8,14.4,92.8077,3.9071,43546,11,71.9233,13,6,1,88.3
PA075,NA,67.1004,84.0844,89.0152,NA,54.0126,134411,73.4442,26.5558,7.6,10.7,86.0242,1.546,54818,11,90.0224,8,NA,NA,85.5
PA077,66.6667,62.3149,77.7975,87.8788,NA,31.0045,352068,92.0743,7.9257,10.1,13.7,70.4461,4.9655,54923,24,118.7271,18,NA,NA,86.8
PA079,100,64.7214,76.7873,89.525,NA,70.4102,320827,80.0151,19.9849,8.4,15.6,87.3034,3.178,44402,29,108.7814,49,25,0,88.3
PA081,96.1538,77.699700000000007,84.0905,93.3934,NA,64.5977,116604,63.7235,36.2765,9,14.2,91.6264,4.6877,45430,13,73.7539,14,7,0,87.6
PA083,100,86.0687,90.7336,90.8425,NA,86.7528,43294,36.4626,63.5374,10.7,16.6,94.1678,2.4599,41834,7,43.886,9,7,1,89.3
PA085,100,50.4083,48.7011,58.1606,NA,49.894,116059,55.5111,44.4889,9.4,13.5,90.8409,5.7548,44301,11,86.1631,12,9,1,88.6
